review_id,product_name,product_category,review_text,rating,sentiment_label,reviewer_name,review_date,platform,verified_purchase,helpful_votes
e7ab7a4b-75d,Havells SS-390 Metallic,fans,Excellent fan! The LED light is top-notch. Service team was also helpful during installation. Installation was smooth. Happy with the purchase.,4,positive,Vikram P.,2024-01-03,Havells.com,False,0
37f84906-efb,Havells Festiva,fans,Best ceiling fan I've used. The energy efficiency makes it stand out. Build quality is premium. Recommended for anyone looking for a quality fan.,5,positive,Rohit E.,2024-01-03,Amazon.in,True,0
c896f2da-57b,Havells Studio AP-22,air_purifiers,Purification is okay but filter cost. Works for basic needs. Good for smaller rooms only.,4,mixed,Raghav C.,2024-01-03,Havells.com,False,0
131cc803-db0,Havells Stealth Air BLDC,fans,Bought the Havells Stealth Air BLDC last week. The air delivery is excellent and it runs perfectly. Works as advertised. Worth every penny!,4,positive,Raghav C.,2024-01-03,Havells.com,True,62
e44aa29e-599,Havells Monza EC 15L,water_heaters,Leaking from the bottom. Will not recommend to anyone. Warranty claim rejected saying it's installation issue. Very disappointed.,1,negative,Manish C.,2024-01-03,Croma,True,0
9a908f53-7df,Havells Freshia AP-46,air_purifiers,Filter replacement cost is too high. The product looks cheaply made. Rs 3000+ for HEPA filter is pathetic.,2,negative,Lakshmi I.,2024-01-04,Flipkart,True,111
6bdbab43-f6d,Havells LED Panel 18W,lighting,Bulb gets extremely hot. Will not recommend to anyone. Concerned about safety in enclosed fixtures.,2,negative,Seema Q.,2024-01-04,Havells.com,True,98
7dec1e16-9a5,Havells Sprint 400mm,fans,"The fan looks good and air delivery is decent, but the noise at high speed is a problem. Works for basic needs.",5,mixed,Shruti R.,2024-01-04,Flipkart,True,0
d4ab39e8-a8a,Havells Sprint Mixer 600W,mixer_grinders,The blade quality is terrible. No response from service center. Cannot grind properly. Service center says motor needs replacement.,1,negative,Rekha J.,2024-01-04,Reliance Digital,False,0
28ec8862-fdc,Havells Vitonica 500W,mixer_grinders,Using for 1 year. Handles all Indian cooking needs perfectly. Energy savings are noticeable on the electricity bill. Motor is very powerful.,5,positive,Archana X.,2024-01-04,Flipkart,True,1
6405b67f-74b,Havells Studio AP-22,air_purifiers,Display shows wrong readings. Complete waste of money. Compared with external monitor and values don't match.,1,negative,Pooja B.,2024-01-04,Reliance Digital,True,54
697f6653-53f,Havells LED Panel 18W,lighting,Smart light works perfectly with the app. Sturdy construction. Color changing feature is amazing.,5,positive,Divya N.,2024-01-04,Croma,True,138
ff34e27b-e64,Havells Vitonica 500W,mixer_grinders,"Love the look and performance. Even after months, performance hasn't degraded. Easy to clean and the locking mechanism is solid.",5,positive,Geeta O.,2024-01-05,Havells.com,True,50
1acb1c7f-79f,Havells Glow LED 12W,lighting,Installed 10 of these in my home. Build quality is premium. Consistent brightness and great build quality.,4,positive,Raghav C.,2024-01-05,Havells.com,True,80
a94fc51e-073,Havells Marathon 750W,mixer_grinders,Motor burned out after 1 month. Filed a complaint with consumer court. Expected better from a brand like Havells.,1,negative,Shweta B.,2024-01-05,Reliance Digital,True,18
7714618c-9ff,Havells ES-40 Premium,fans,"After trying many brands, finally settled on Havells. The build quality is excellent. Even after months, performance hasn't degraded. No regrets.",5,positive,Vivek Y.,2024-01-05,Amazon.in,True,20
5349aaa3-24c,Havells NXT LED Batten 20W,lighting,Energy saving is real but the brightness could be better. Would rate 3/5. Room for improvement. Decent product overall.,3,mixed,Arun H.,2024-01-05,Flipkart,False,0
a5fb200a-4b2,Havells Sprint Mixer 600W,mixer_grinders,Coupler breaks frequently. Complete waste of money. Already replaced twice in 2 weeks. Bad design.,3,negative,Tushar V.,2024-01-06,Croma,True,0
7d14aedf-70e,Havells Leganza 4B,fans,Design is impressive but the motor quality could be better. Expected more from Havells at this price point. Okay for the price range.,2,mixed,Rahul S.,2024-01-06,Havells.com,True,112
39cb6b98-3ae,Havells ES-40 Premium,fans,Good fan for the price but noise at high speed. Good for the price but not premium. Would have been 5 stars otherwise.,4,mixed,Sunita W.,2024-01-06,Amazon.in,True,142
dd9f2cdf-eff,Havells ES-40 Premium,fans,"The fan looks good and air delivery is decent, but the remote malfunction is a problem. Overall a decent product.",3,mixed,Seema Q.,2024-01-06,Reliance Digital,True,31
f33af1d4-05d,Havells Nicola,fans,Bought the Havells Nicola recently. The air delivery is fantastic and it runs quietly. The packaging was excellent. Worth every penny!,5,positive,Dhruv E.,2024-01-07,Amazon.in,True,0
5590e889-f7b,Havells Stealth Air BLDC,fans,Design is impressive but the energy efficiency could be better. Good for the price but not premium. Okay for the price range.,4,mixed,Sapna W.,2024-01-07,Reliance Digital,True,0
24d2e2ae-e64,Havells Freshia AP-58,air_purifiers,Noticed significant improvement in allergies after using this. Havells has maintained its quality. Real-time display is helpful.,2,positive,Kamini F.,2024-01-07,Havells.com,True,0
a0a8729a-835,Havells LED Panel 18W,lighting,"The light quality is excellent. Even after months, performance hasn't degraded. No flickering at all. True to claimed lumens.",5,positive,Shruti R.,2024-01-07,Flipkart,True,139
a67f3796-bbe,Havells Studio AP-22,air_purifiers,Excellent air purifier! Air quality improved significantly. Very happy with this purchase. The sleep mode is very useful.,3,positive,Suresh L.,2024-01-08,Reliance Digital,True,0
b74efc20-45b,Havells Sprint Mixer 600W,mixer_grinders,Love the look and performance. The warranty gives peace of mind. Easy to clean and the locking mechanism is solid.,3,positive,Gaurav P.,2024-01-08,Havells.com,True,26
fdf523ee-7de,Havells Nicola,fans,"The fan looks good and air delivery is decent, but the PCB failure is a problem. Overall a decent product.",3,mixed,Pallavi T.,2024-01-08,Croma,True,0
a29863f0-420,Havells Studio AP-22,air_purifiers,Noticed significant improvement in allergies after using this. My family loves it. Real-time display is helpful.,5,positive,Vikram P.,2024-01-08,Reliance Digital,True,0
df8c78da-558,Havells Quatro 15L,water_heaters,Works well in summer but struggles in winter. Would rate 3/5. Room for improvement. Expected more from Havells brand.,3,mixed,Sunita W.,2024-01-08,Amazon.in,True,135
9621d84f-efd,Havells Adonia Spin 25L,water_heaters,Water not heating properly. Takes 30+ minutes for lukewarm water. The product looks cheaply made. Defective heating element perhaps.,1,negative,Priya M.,2024-01-08,Flipkart,True,97
9c15841c-dca,Havells Momenta 750W,mixer_grinders,Makes perfect dosa batter and chutney. My neighbor also bought one after seeing mine. The 750W motor handles everything easily.,4,positive,Rahul S.,2024-01-08,Croma,True,0
8bf2f652-1d5,Havells Monza EC 15L,water_heaters,Works well in summer but struggles in winter. Has both pros and cons. Expected more from Havells brand.,3,mixed,Vivek Y.,2024-01-09,Havells.com,True,0
ed7e90f2-d79,Havells Bello 25L,water_heaters,Geyser stopped heating after 1.5 years. Posted on consumer forum as well. Thermostat failure according to service center.,1,negative,Ajay G.,2024-01-09,Amazon.in,True,0
f55d30e8-061,Havells Vitonica 500W,mixer_grinders,Best mixer grinder for the price. Using it daily without any issues. Wet and dry grinding both are fantastic. Highly recommend.,4,positive,Prakash A.,2024-01-09,Havells.com,True,116
02481ef0-730,Havells Freshia AP-58,air_purifiers,Fan stopped working after 2 months. Misleading product description on website. Service not available in my city.,1,negative,Meera D.,2024-01-10,Havells.com,False,38
08b88747-ac2,Havells Adonia Spin 25L,water_heaters,Excellent water heater. Heats water in 5 minutes. Energy savings are noticeable on the electricity bill. The safety features are superb.,5,positive,Rohit E.,2024-01-10,Croma,True,0
1b3ec9ea-bd8,Havells Pacer,fans,"The fan looks good and air delivery is decent, but the noise at high speed is a problem. Not the best but not the worst either.",2,mixed,Sunita W.,2024-01-10,Havells.com,True,134
04430d3c-34a,Havells ES-40 Premium,fans,"The fan looks good and air delivery is decent, but the clicking sound is a problem. Works for basic needs.",2,mixed,Tushar V.,2024-01-10,Flipkart,True,45
d38dd744-00c,Havells Vitonica 500W,mixer_grinders,Love the look and performance. Sturdy construction. Easy to clean and the locking mechanism is solid.,4,positive,Tushar V.,2024-01-11,Reliance Digital,True,33
d617f3af-4b3,Havells Freshia AP-58,air_purifiers,Purification is okay but filter availability. Has both pros and cons. Good for smaller rooms only.,1,mixed,Seema Q.,2024-01-11,Croma,True,102
0bfb8258-0d2,Havells Monza EC 15L,water_heaters,Havells geyser performing well for 2 weeks. Very happy with this purchase. Hot water in 10 minutes even in peak winter.,4,positive,Archana X.,2024-01-12,Croma,True,30
587171a5-cf6,Havells Quatro 15L,water_heaters,Using this geyser for 2 weeks. No issues at all. Havells has maintained its quality. Perfect for Indian winters.,1,positive,Suresh L.,2024-01-12,Flipkart,True,0
a10aea5e-3ed,Havells Sprint Mixer 600W,mixer_grinders,Works fine for daily use but blade quality. Has both pros and cons. Average mixer for the price.,4,mixed,Meera D.,2024-01-12,Reliance Digital,True,3
536cdd52-9c0,Havells Carnival,fans,Design is superb but the timer function could be better. Good for the price but not premium. Okay for the price range.,3,mixed,Divya N.,2024-01-13,Croma,True,7
3c3afd52-c5a,Havells Nicola,fans,Remote control stopped working in 2 weeks. Service team is not responding. Plastic quality is very poor. Very poor after-sales support.,1,negative,Gaurav P.,2024-01-13,Amazon.in,True,55
83b8bb53-4ef,Havells Instanio 3L,water_heaters,Safety valve keeps releasing water. I've used other Havells products which were much better. Technician visited 3 times but problem persists. Waste of money.,2,negative,Manish C.,2024-01-14,Reliance Digital,True,0
3e317c0d-fd8,Havells Sprint Mixer 600W,mixer_grinders,"Makes perfect dosa batter and chutney. Even after months, performance hasn't degraded. The 750W motor handles everything easily.",4,positive,Swati M.,2024-01-14,Havells.com,True,93
06e3f495-f0d,Havells Quatro 15L,water_heaters,Works well in summer but struggles in winter. Would rate 3/5. Room for improvement. Expected more from Havells brand.,1,mixed,Swati M.,2024-01-14,Reliance Digital,True,139
2b1ab725-229,Havells Smart LED WiFi,lighting,The WiFi drops is very annoying. No response from service center. Brightness drops significantly over time.,2,negative,Rahul S.,2024-01-15,Flipkart,True,0
2e1986ce-d8a,Havells Stealth Air BLDC,fans,Using this Havells Stealth Air BLDC for 1 month now. Very satisfied with the performance. Very happy with this purchase. The BLDC motor saves a lot on electricity.,4,positive,Vikram P.,2024-01-15,Croma,True,23
704f696e-d78,Havells SS-390 Metallic,fans,Good fan for the price but clicking sound. Overall a decent product. Would have been 5 stars otherwise.,3,mixed,Pooja B.,2024-01-15,Flipkart,True,0
6f381309-054,Havells Freshia AP-46,air_purifiers,Silent operation and effective purification. Much better than the Chinese alternatives. The HEPA filter does a great job.,3,positive,Tanvi I.,2024-01-16,Amazon.in,False,13
02e15e15-bcd,Havells Capture 500W,mixer_grinders,Love the look and performance. Installation was done within 2 days of purchase. Easy to clean and the locking mechanism is solid.,4,positive,Mohan U.,2024-01-16,Reliance Digital,True,0
5115ff61-7cf,Havells Glow LED 12W,lighting,Best LED bulb I've bought. Color temperature is perfect. Using it daily without any issues. Great value for money.,4,positive,Vikram P.,2024-01-16,Havells.com,True,31
3e83dd8d-016,Havells Vitonica 500W,mixer_grinders,Using for 1.5 years. Handles all Indian cooking needs perfectly. Much better than the Chinese alternatives. Motor is very powerful.,3,positive,Sapna W.,2024-01-16,Reliance Digital,True,35
59783519-92d,Havells Carnival,fans,"The fan looks good and air delivery is decent, but the vibration is a problem. It's okay, nothing special.",5,mixed,Suresh L.,2024-01-16,Flipkart,True,149
4823fa7c-419,Havells Lumeno LED 15W,lighting,The light quality is excellent. Sturdy construction. No flickering at all. True to claimed lumens.,5,positive,Vivek Y.,2024-01-17,Amazon.in,True,0
c0793f64-aa2,Havells Capture 500W,mixer_grinders,Design is premium but noise level is a concern. Has both pros and cons. Needs improvement in build quality.,4,mixed,Raghav C.,2024-01-17,Flipkart,False,0
49553da9-eb6,Havells Quatro 15L,water_heaters,Leaking from the bottom. Will not recommend to anyone. Warranty claim rejected saying it's installation issue. Very disappointed.,1,negative,Rohit E.,2024-01-17,Amazon.in,True,75
573b33e7-d56,Havells ES-40 Premium,fans,"After trying many brands, finally settled on Havells. The build quality is excellent. Energy savings are noticeable on the electricity bill. No regrets.",5,positive,Vikram P.,2024-01-18,Flipkart,True,87
a575dfc7-6c0,Havells Puro Plus 25L,water_heaters,Safety valve keeps releasing water. Returned to Amazon. Getting refund. Technician visited 3 times but problem persists. Waste of money.,1,negative,Shruti R.,2024-01-18,Flipkart,False,24
72054c6d-04d,Havells Festiva,fans,Bought this fan expecting Havells quality but it's very poor. Customer care is useless. The motor heats up quickly.,5,negative,Divya N.,2024-01-18,Croma,True,0
520ea4c5-d9a,Havells Smart LED WiFi,lighting,Color rendering is poor. I've used other Havells products which were much better. Everything looks yellowish. Not true to advertised specs.,1,negative,Ajay G.,2024-01-18,Flipkart,True,0
dda0025a-5af,Havells Studio AP-22,air_purifiers,Not effective for the claimed area coverage. Complete waste of money. PM2.5 barely drops in my room.,1,negative,Tushar V.,2024-01-18,Flipkart,True,78
cec787ab-e7a,Havells Sprint 400mm,fans,The motor quality stopped working after 8 months. Going to switch to another brand now. Service center says it's not covered under warranty. Waste of money.,1,negative,Deepak G.,2024-01-18,Flipkart,False,72
f2b4868c-1ca,Havells Lumeno LED 15W,lighting,Bulb gets extremely hot. Complete waste of money. Concerned about safety in enclosed fixtures.,2,negative,Rina Q.,2024-01-19,Flipkart,True,0
18c0029b-f23,Havells Festiva,fans,Best ceiling fan I've used. The timer function makes it stand out. Works as advertised. Recommended for anyone looking for a quality fan.,5,positive,Lakshmi I.,2024-01-20,Croma,True,142
0def2170-05e,Havells Vitonica 500W,mixer_grinders,Best mixer grinder for the price. Works as advertised. Wet and dry grinding both are outstanding. Highly recommend.,4,positive,Kavita J.,2024-01-20,Havells.com,True,0
2ff148e2-152,Havells Adore LED 9W,lighting,Installed 10 of these in my home. Good value for money. Consistent brightness and great build quality.,5,positive,Bhavna D.,2024-01-20,Amazon.in,True,141
09ab2877-a54,Havells Nicola,fans,Design is great but the energy efficiency could be better. Has both pros and cons. Okay for the price range.,5,mixed,Rohit E.,2024-01-20,Flipkart,True,0
2b06be74-6a9,Havells Stealth Air BLDC,fans,"Design is fantastic but the timer function could be better. It's okay, nothing special. Okay for the price range.",4,mixed,Ritu O.,2024-01-20,Amazon.in,True,55
67bf8d9f-3d6,Havells Nicola,fans,Best ceiling fan I've used. The motor quality makes it stand out. The warranty gives peace of mind. Recommended for anyone looking for a quality fan.,5,positive,Kamini F.,2024-01-20,Flipkart,True,0
eabca0da-a7f,Havells Magnatron 15L,water_heaters,Best geyser in this price range. The auto-cutoff is impressive. Installation was done within 2 days of purchase. Family is very happy.,4,positive,Sneha T.,2024-01-20,Amazon.in,False,18
3e80db9b-cdf,Havells NXT LED Batten 20W,lighting,Installed 10 of these in my home. Using it daily without any issues. Consistent brightness and great build quality.,4,positive,Nisha F.,2024-01-21,Croma,True,0
5b5f1699-910,Havells Quatro 15L,water_heaters,Havells geyser performing well for 8 months. Energy savings are noticeable on the electricity bill. Hot water in 10 minutes even in peak winter.,4,positive,Rekha J.,2024-01-21,Flipkart,True,12
6a504ee7-e52,Havells Pacer,fans,Remote control stopped working in 8 months. Service team is not responding. Havells quality has gone down. Very poor after-sales support.,3,negative,Rohit E.,2024-01-22,Havells.com,True,143
a14cbe06-3a6,Havells Vitonica 500W,mixer_grinders,Good for light grinding but struggles with hard items. Works for basic needs. The speed settings is decent though.,3,mixed,Rina Q.,2024-01-22,Flipkart,True,0
9b6591c4-b44,Havells Monza EC 15L,water_heaters,Works well in summer but struggles in winter. Expected more from Havells at this price point. Expected more from Havells brand.,2,mixed,Harsh L.,2024-01-22,Reliance Digital,True,0
6a6c64b0-318,Havells Magnatron 15L,water_heaters,"Compact design, fits easily in bathroom. Service team was also helpful during installation. Heating element quality is excellent. Very satisfied customer.",1,positive,Kamini F.,2024-01-22,Amazon.in,True,0
bdb3dfe1-c41,Havells Leganza 4B,fans,Got this for my living room and couldn't be happier. The airflow is amazing even at medium speed. Sturdy construction.,5,positive,Sunita W.,2024-01-22,Croma,True,21
0f487729-774,Havells SS-390 Metallic,fans,PCB board failed after 2 weeks. Havells quality has gone down. Havells service center asking for Rs 1500 for replacement even under warranty.,2,negative,Raghav C.,2024-01-22,Flipkart,True,0
b3c3be5f-265,Havells PowerGrind 1000W,mixer_grinders,Havells quality at its best. The jars are sturdy and grinding performance works great. Works as advertised.,5,positive,Archana X.,2024-01-22,Havells.com,True,0
809e3b4a-b8b,Havells Freshia AP-58,air_purifiers,The high noise at max speed makes it unusable at night. Posted on consumer forum as well. Defeats the purpose of having one in bedroom.,2,negative,Geeta O.,2024-01-23,Flipkart,True,0
bb2dd180-2cb,Havells Vitonica 500W,mixer_grinders,The jar leaking is terrible. Plastic quality is very poor. Cannot grind properly. Service center says motor needs replacement.,1,negative,Nisha F.,2024-01-23,Reliance Digital,True,0
46856c2e-240,Havells Carlo 5L,water_heaters,"Compact design, fits easily in bathroom. Installation was done within 2 days of purchase. Heating element quality is excellent. Very satisfied customer.",5,positive,Seema Q.,2024-01-23,Flipkart,True,134
1b12db08-90e,Havells Quatro 15L,water_heaters,"Works well in summer but struggles in winter. It's okay, nothing special. Expected more from Havells brand.",3,mixed,Pallavi T.,2024-01-24,Flipkart,False,0
db2d29b2-f88,Havells Adore LED 9W,lighting,Smart light works perfectly with the app. Energy savings are noticeable on the electricity bill. Color changing feature is amazing.,5,positive,Seema Q.,2024-01-24,Amazon.in,True,97
8b92f18e-d32,Havells Nicola,fans,"After trying many brands, finally settled on Havells. The build quality is wonderful. Havells has maintained its quality. No regrets.",5,positive,Archana X.,2024-01-24,Reliance Digital,True,0
b165508f-3f9,Havells Instanio 3L,water_heaters,Leaking from the bottom. This is clearly a manufacturing defect. Warranty claim rejected saying it's installation issue. Very disappointed.,1,negative,Sunita W.,2024-01-24,Croma,True,0
017c0486-57b,Havells Sprint Mixer 600W,mixer_grinders,Coupler breaks frequently. Filed a complaint with consumer court. Already replaced twice in 2 weeks. Bad design.,2,negative,Vivek Y.,2024-01-24,Reliance Digital,True,0
6a91bf86-1de,Havells Lumeno LED 15W,lighting,Bright and energy efficient LED. Energy savings are noticeable on the electricity bill. Been using for 6 months with no issues.,5,positive,Vivek Y.,2024-01-24,Havells.com,False,0
439b0908-eca,Havells NXT LED Batten 20W,lighting,Bright and energy efficient LED. My neighbor also bought one after seeing mine. Been using for 2 months with no issues.,4,positive,Sanjay U.,2024-01-24,Croma,True,0
a8144e8e-8c7,Havells PowerGrind 1000W,mixer_grinders,Motor burned out after 8 months. Havells quality has gone down. Expected better from a brand like Havells.,1,negative,Geeta O.,2024-01-25,Amazon.in,True,50
bf8400f0-f11,Havells Magnatron 15L,water_heaters,Safety valve keeps releasing water. Customer care is useless. Technician visited 3 times but problem persists. Waste of money.,2,negative,Sneha T.,2024-01-25,Flipkart,True,11
d0818715-81e,Havells Puro Plus 25L,water_heaters,Best geyser in this price range. The glass-lined tank is impressive. The packaging was excellent. Family is very happy.,1,positive,Nitin K.,2024-01-25,Reliance Digital,True,4
5659f371-e31,Havells Adore LED 9W,lighting,The color shift is very annoying. Havells quality has gone down. Brightness drops significantly over time.,2,negative,Arjun Y.,2024-01-25,Reliance Digital,True,0
6c8540a9-78b,Havells Freshia AP-46,air_purifiers,"PM2.5 readings dropped from 200+ to below 30. Even after months, performance hasn't degraded. Worth the investment for health.",2,positive,Archana X.,2024-01-25,Flipkart,True,62
35cd0b57-da3,Havells PowerGrind 1000W,mixer_grinders,"Makes perfect dosa batter and chutney. Even after months, performance hasn't degraded. The 750W motor handles everything easily.",5,positive,Rohit E.,2024-01-25,Reliance Digital,True,0
4daee62e-7d5,Havells Momenta 750W,mixer_grinders,Havells quality at its best. The jars are sturdy and overload protection works great. Energy savings are noticeable on the electricity bill.,5,positive,Arjun Y.,2024-01-26,Croma,True,29
5423dfdd-9c2,Havells Glow LED 12W,lighting,Good brightness but flickering. Not the best but not the worst either. Okay for the price point.,3,mixed,Rohit E.,2024-01-26,Reliance Digital,True,0
742b9de2-34a,Havells NXT LED Batten 20W,lighting,Good brightness but WiFi drops. Works for basic needs. Okay for the price point.,4,mixed,Vikram P.,2024-01-26,Croma,False,130
5d0ef606-9f7,Havells Vitonica 500W,mixer_grinders,Design is premium but coupler breaking is a concern. Acceptable performance for daily use. Needs improvement in build quality.,3,mixed,Arun H.,2024-01-27,Flipkart,True,125
f4244240-4ce,Havells Sprint Mixer 600W,mixer_grinders,Good for light grinding but struggles with hard items. Works for basic needs. The grinding performance is decent though.,3,mixed,Rahul S.,2024-01-27,Flipkart,True,0
6ca0bc8d-fb9,Havells Vitonica 500W,mixer_grinders,Motor burned out after 8 months. Complete waste of money. Expected better from a brand like Havells.,1,negative,Pooja B.,2024-01-27,Havells.com,True,0
9ee23153-f40,Havells Carnival,fans,Got this for my living room and couldn't be happier. The airflow is amazing even at medium speed. Will buy more Havells products.,4,positive,Nisha F.,2024-01-27,Croma,True,88
3117e808-7ca,Havells Instanio 3L,water_heaters,Geyser stopped heating after 8 months. Filed a complaint with consumer court. Thermostat failure according to service center.,2,negative,Prakash A.,2024-01-27,Reliance Digital,True,120
8d579e7b-ad8,Havells Sprint 400mm,fans,Bought the Havells Sprint 400mm last week. The air delivery is impressive and it runs beautifully. The packaging was excellent. Worth every penny!,5,positive,Vivek Y.,2024-01-28,Havells.com,True,96
5aeabcdd-8cb,Havells Festiva,fans,Premium quality fan from Havells. Much better than the Chinese alternatives. Energy efficient and stylish design. Goes well with my room decor.,5,positive,Sapna W.,2024-01-28,Croma,True,56
f72107d0-1c2,Havells Festiva,fans,PCB board failed after 6 months. Complete waste of money. Havells service center asking for Rs 1500 for replacement even under warranty.,2,negative,Venkat A.,2024-01-28,Croma,True,0
c981ba1e-35b,Havells Instanio 3L,water_heaters,Excellent water heater. Heats water in 10 minutes. Service team was also helpful during installation. The safety features are great.,5,positive,Dhruv E.,2024-01-29,Flipkart,True,2
59d835c6-ffb,Havells Carlo 5L,water_heaters,Geyser stopped heating after 8 months. Regret not buying the Crompton/Bajaj alternative. Thermostat failure according to service center.,1,negative,Bhavna D.,2024-01-29,Amazon.in,False,8
7fffd107-5f3,Havells Freshia AP-58,air_purifiers,Fan stopped working after 1 year. Will not recommend to anyone. Service not available in my city.,1,negative,Rohit E.,2024-01-29,Reliance Digital,True,67
85abb608-c06,Havells Quatro 15L,water_heaters,Water not heating properly. Takes 30+ minutes for lukewarm water. Filed a complaint with consumer court. Defective heating element perhaps.,2,negative,Pankaj H.,2024-01-29,Havells.com,False,32
b3e84686-98e,Havells Ventil Air DX,fans,"After trying many brands, finally settled on Havells. The build quality is wonderful. Energy savings are noticeable on the electricity bill. No regrets.",4,positive,Shweta B.,2024-01-30,Croma,True,30
c6582ce6-14d,Havells Monza EC 15L,water_heaters,Havells geyser performing well for 8 months. Recommend to everyone. Hot water in 10 minutes even in peak winter.,5,positive,Vikram P.,2024-01-30,Croma,True,0
d7801976-506,Havells Freshia AP-46,air_purifiers,Filter replacement cost is too high. Complete waste of money. Rs 3000+ for HEPA filter is disappointing.,2,negative,Nisha F.,2024-01-30,Reliance Digital,True,102
367d791b-a4e,Havells Freshia AP-46,air_purifiers,Fan stopped working after 2 months. No response from service center. Service not available in my city.,1,negative,Harsh L.,2024-01-30,Flipkart,True,0
0ab2f918-498,Havells Vitonica 500W,mixer_grinders,Motor burned out after 2 months. Raised complaint on Havells app but no response. Expected better from a brand like Havells.,1,negative,Swati M.,2024-01-31,Flipkart,True,32
1311156d-786,Havells NXT LED Batten 20W,lighting,Bulb gets extremely hot. This is clearly a manufacturing defect. Concerned about safety in enclosed fixtures.,3,negative,Sapna W.,2024-01-31,Flipkart,True,0
96497d9e-c82,Havells Lumeno LED 15W,lighting,Bright and energy efficient LED. The warranty gives peace of mind. Been using for 1 year with no issues.,5,positive,Shweta B.,2024-02-01,Reliance Digital,True,16
c93cfab6-6f1,Havells Momenta 750W,mixer_grinders,"Using for 2 weeks. Handles all Indian cooking needs perfectly. Even after months, performance hasn't degraded. Motor is very powerful.",4,positive,Geeta O.,2024-02-01,Reliance Digital,True,68
5187c483-73e,Havells Stealth Air BLDC,fans,Bought the Havells Stealth Air BLDC recently. The air delivery is great and it runs silently. Sturdy construction. Worth every penny!,4,positive,Divya N.,2024-02-01,Flipkart,False,0
c10a5edc-c2b,Havells Ventil Air DX,fans,"The fan looks good and air delivery is decent, but the motor heating is a problem. Expected more from Havells at this price point.",2,mixed,Kavita J.,2024-02-01,Havells.com,True,0
8df60f4d-1b1,Havells Freshia AP-58,air_purifiers,PM2.5 readings dropped from 200+ to below 30. Installation was done within 2 days of purchase. Worth the investment for health.,5,positive,Deepak G.,2024-02-02,Amazon.in,True,0
8f92a3a8-3c0,Havells ES-40 Premium,fans,"The fan looks good and air delivery is decent, but the PCB failure is a problem. Would rate 3/5. Room for improvement.",2,mixed,Pooja B.,2024-02-02,Havells.com,True,0
b77c5d24-ec3,Havells Carlo 5L,water_heaters,Heating is good but slow heating. Good for the price but not premium. Could be better for the premium price.,2,mixed,Dhruv E.,2024-02-02,Havells.com,True,0
a38244b8-cfb,Havells Lumeno LED 15W,lighting,Color rendering is poor. Complete waste of money. Everything looks yellowish. Not true to advertised specs.,1,negative,Vivek Y.,2024-02-02,Reliance Digital,True,0
ed041822-976,Havells Festiva,fans,Wobbling issue from day one. Going to switch to another brand now. The technician came but couldn't fix it. Still waiting for replacement.,4,negative,Harsh L.,2024-02-03,Flipkart,True,42
45a731b9-2ca,Havells Monza EC 15L,water_heaters,Leaking from the bottom. Complete waste of money. Warranty claim rejected saying it's installation issue. Very disappointed.,1,negative,Pallavi T.,2024-02-03,Havells.com,False,59
